Category,Physics,Chemistry,Math,Qualified_For_Advanced
OBC,0,73,24,1
SC,20,37,44,1
OBC,58,83,-2,1
OBC,12,89,39,1
OBC,54,65,19,1
OBC,33,8,22,0
OBC,29,51,44,1
ST,27,17,4,1
OBC,23,41,58,1
General,84,11,45,1
General,55,52,-4,0
OBC,38,-2,19,0
OBC,34,28,-1,0
General,39,83,30,1
SC,21,26,41,1
General,47,66,45,1
ST,70,38,7,1
General,58,3,11,0
OBC,26,24,39,0
General,28,37,44,1
General,8,18,45,0
General,37,64,19,1
SC,26,7,16,0
General,37,37,19,0
SC,43,48,43,1
General,56,72,57,1
OBC,21,48,35,1
General,21,42,15,0
OBC,43,33,10,0
OBC,55,2,3,0
SC,78,52,21,1
ST,16,39,29,1
OBC,51,55,8,1
OBC,42,20,17,0
EWS,45,36,30,1
OBC,33,58,48,1
OBC,27,32,25,0
SC,37,31,18,1
SC,37,3,31,1
OBC,18,58,12,0
EWS,6,36,-10,0
General,58,55,46,1
OBC,44,56,7,1
EWS,17,69,47,1
General,25,15,63,0
General,20,49,51,1
General,-4,40,0,0
General,23,87,-4,1
OBC,33,63,60,1
General,34,70,-7,0
OBC,44,67,22,1
OBC,30,30,44,1
OBC,29,18,21,0
ST,36,18,44,1
OBC,16,8,42,0
EWS,15,7,0,0
General,36,43,49,1
OBC,10,24,8,0
OBC,15,11,1,0
General,58,38,-7,0
OBC,59,41,21,1
OBC,41,28,17,0
General,17,29,18,0
OBC,50,13,64,1
General,36,72,20,1
General,12,35,15,0
EWS,58,40,32,1
OBC,51,14,29,1
ST,14,45,-2,1
EWS,25,61,47,1
ST,39,44,8,1
OBC,15,-9,38,0
OBC,51,39,53,1
General,64,36,4,0
OBC,15,13,-4,0
General,-10,16,58,0
OBC,17,46,38,1
General,42,59,51,1
OBC,48,49,-5,1
SC,41,29,54,1
General,46,8,22,0
General,69,16,9,0
OBC,38,55,52,1
EWS,38,78,36,1
OBC,2,11,12,0
General,24,46,35,1
General,49,17,49,1
EWS,4,41,30,0
OBC,64,-2,0,0
SC,38,80,78,1
General,52,55,44,1
General,14,21,-5,0
OBC,21,25,31,0
General,12,49,40,0
SC,10,-10,65,1
General,35,34,18,0
General,13,30,29,0
General,46,66,42,1
SC,51,39,23,1
OBC,4,84,32,1
SC,34,35,22,1
General,54,34,29,1
General,19,30,18,0
OBC,31,49,24,1
OBC,55,41,6,1
ST,78,0,11,1
General,50,34,53,1
OBC,22,20,25,0
ST,31,40,41,1
General,-10,36,61,0
General,17,39,38,0
EWS,0,35,22,0
General,59,35,22,1
SC,34,64,34,1
General,63,19,3,0
General,32,33,44,1
SC,34,32,39,1
OBC,17,53,56,1
General,12,37,29,0
General,48,24,20,0
OBC,43,32,35,1
OBC,40,28,15,0
OBC,49,69,16,1
General,21,44,66,1
General,19,14,28,0
EWS,7,12,21,0
SC,34,41,37,1
General,33,23,39,0
SC,29,21,34,1
General,9,33,28,0
OBC,40,22,22,0
General,26,45,-4,0
OBC,18,23,17,0
SC,22,53,18,1
OBC,52,-1,12,0
General,24,45,47,1
SC,17,79,34,1
General,61,21,30,1
General,27,47,38,1
OBC,56,21,43,1
General,20,51,62,1
ST,27,39,28,1
SC,36,7,37,1
General,63,23,18,0
General,31,40,8,0
General,-10,14,24,0
General,-6,58,47,0
EWS,16,51,45,1
OBC,46,45,16,1
EWS,52,30,37,1
EWS,33,38,9,0
SC,56,68,32,1
General,64,37,14,1
EWS,49,53,16,1
General,-10,25,2,0
OBC,17,67,8,1
General,55,28,4,0
General,16,43,39,0
OBC,-2,58,27,0
ST,48,77,77,1
OBC,67,64,13,1
EWS,48,49,12,1
OBC,13,65,61,1
OBC,16,15,28,0
OBC,65,22,44,1
OBC,44,31,15,1
General,24,14,49,0
OBC,52,37,27,1
General,38,41,34,1
SC,13,66,14,1
General,18,58,16,0
OBC,73,24,35,1
SC,47,58,54,1
OBC,16,42,-2,0
OBC,41,84,23,1
EWS,28,19,0,0
OBC,52,46,33,1
EWS,39,12,16,0
General,34,69,46,1
EWS,64,97,10,1
SC,36,47,42,1
General,51,44,22,1
ST,68,14,33,1
General,30,40,22,0
SC,40,37,24,1
OBC,54,56,48,1
General,46,47,5,0
General,31,-3,-10,0
ST,11,3,12,0
General,19,58,43,1
General,39,31,30,0
ST,14,53,8,1
OBC,23,81,46,1
ST,48,52,19,1
General,28,29,35,0
General,42,100,2,1
OBC,54,47,39,1
EWS,19,56,10,0
OBC,56,19,24,1
General,68,51,7,1
EWS,35,-10,14,0
OBC,37,58,45,1
General,63,74,58,1
OBC,19,46,68,1
General,62,58,32,1
OBC,7,60,26,1
General,40,56,5,0
ST,61,23,33,1
EWS,14,77,23,1
General,50,89,37,1
OBC,18,23,9,0
OBC,14,44,31,0
General,58,38,55,1
SC,38,55,32,1
OBC,16,40,45,1
OBC,24,96,14,1
General,44,43,-3,0
ST,28,58,42,1
EWS,32,25,52,1
OBC,31,49,47,1
EWS,25,49,33,1
OBC,16,49,12,0
EWS,49,28,0,0
General,24,11,43,0
General,68,27,24,1
EWS,47,51,33,1
General,-4,68,8,0
OBC,23,68,29,1
OBC,42,22,13,0
General,24,47,26,0
SC,22,82,45,1
EWS,41,41,50,1
OBC,39,8,33,0
General,42,28,41,1
General,67,57,15,1
General,47,44,30,1
General,46,16,25,0
SC,69,22,29,1
OBC,41,23,57,1
SC,44,26,16,1
General,23,52,43,1
OBC,25,0,43,0
OBC,25,84,13,1
OBC,35,75,24,1
OBC,-2,100,8,1
General,29,43,29,0
General,30,14,3,0
General,48,39,49,1
SC,33,51,41,1
OBC,40,47,43,1
OBC,69,51,59,1
OBC,30,80,54,1
OBC,59,57,18,1
OBC,17,53,27,1
OBC,48,52,34,1
OBC,47,87,21,1
EWS,42,55,29,1
General,50,75,8,1
OBC,22,54,32,1
OBC,-10,36,61,0
OBC,48,40,45,1
ST,46,34,1,1
SC,34,-2,43,1
General,-3,41,5,0
OBC,22,6,15,0
General,55,-10,31,0
OBC,20,65,22,1
General,12,21,34,0
ST,93,34,64,1
ST,28,-10,15,0
General,68,21,30,1
General,44,39,47,1
General,22,35,47,0
OBC,17,47,21,0
EWS,43,32,45,1
OBC,26,52,6,0
SC,47,7,11,1
General,40,26,30,0
General,28,68,0,0
General,30,17,51,0
EWS,72,76,24,1
SC,6,-7,-3,0
SC,26,29,25,1
OBC,60,24,32,1
OBC,36,24,8,0
OBC,16,50,15,0
OBC,33,26,26,0
OBC,42,17,14,0
General,36,28,19,0
EWS,17,12,37,0
General,64,31,44,1
General,48,46,20,1
OBC,14,55,63,1
OBC,12,40,30,0
OBC,73,43,61,1
General,9,71,31,1
ST,21,21,30,1
OBC,30,30,15,0
General,49,53,43,1
EWS,16,31,44,1
OBC,54,26,11,1
EWS,58,24,23,1
OBC,26,4,11,0
General,25,13,57,0
General,42,36,14,0
EWS,34,6,45,0
OBC,14,41,77,1
General,34,76,23,1
General,28,21,43,0
General,44,85,70,1
General,49,60,5,1
EWS,40,9,31,0
ST,0,55,15,1
General,67,46,27,1
General,51,38,8,0
SC,38,54,12,1
EWS,37,33,10,0
OBC,39,36,60,1
OBC,44,30,34,1
EWS,23,49,36,1
General,44,30,49,1
General,21,18,3,0
General,28,17,45,0
General,41,39,37,1
EWS,54,24,30,1
OBC,34,60,8,1
General,27,50,53,1
EWS,35,19,27,0
OBC,21,69,57,1
OBC,17,46,12,0
General,29,18,21,0
General,-10,28,3,0
EWS,-6,-10,29,0
OBC,30,27,50,1
EWS,24,64,36,1
OBC,24,43,39,1
ST,31,20,21,1
SC,25,36,48,1
EWS,49,27,37,1
General,62,63,59,1
EWS,8,43,33,0
OBC,31,33,20,0
General,26,35,-7,0
ST,11,3,51,1
OBC,77,50,27,1
OBC,22,52,28,1
OBC,14,26,11,0
General,0,50,23,0
General,34,22,-3,0
General,50,42,1,0
OBC,41,81,46,1
OBC,67,46,11,1
General,23,98,48,1
SC,64,33,20,1
General,39,66,17,1
SC,0,30,46,1
OBC,65,54,-3,1
General,30,11,20,0
OBC,22,56,43,1
OBC,39,67,46,1
General,27,57,17,0
ST,1,47,26,1
EWS,0,41,-6,0
OBC,43,53,-4,1
General,50,44,28,1
OBC,-1,50,62,1
OBC,66,28,15,1
General,4,23,50,0
SC,0,31,28,0
OBC,51,29,33,1
ST,25,13,37,1
OBC,47,33,40,1
OBC,27,63,22,1
EWS,33,33,48,1
General,30,46,69,1
OBC,16,28,21,0
General,27,52,59,1
General,29,59,11,0
SC,27,28,14,1
General,22,61,15,0
SC,59,66,52,1
OBC,23,16,52,1
ST,16,64,21,1
General,0,3,11,0
OBC,38,25,13,0
OBC,60,29,38,1
General,51,27,63,1
SC,70,53,40,1
OBC,47,16,16,0
ST,45,11,13,1
OBC,43,63,32,1
General,27,54,27,1
ST,69,58,19,1
SC,23,28,79,1
General,40,54,42,1
OBC,31,42,1,0
General,31,49,26,1
General,69,36,49,1
General,0,47,44,0
OBC,27,35,23,0
SC,19,36,21,1
General,17,77,53,1
OBC,22,49,35,1
ST,63,95,46,1
General,34,42,11,0
General,69,31,19,1
OBC,44,51,31,1
OBC,39,34,12,0
EWS,39,40,25,1
General,19,-10,42,0
General,33,58,40,1
OBC,52,21,50,1
EWS,17,68,33,1
General,42,45,23,1
EWS,81,54,-1,1
General,26,71,21,1
EWS,44,16,41,1
OBC,12,34,45,1
General,33,47,26,1
OBC,9,78,38,1
General,36,35,15,0
OBC,64,31,36,1
General,55,23,0,0
General,54,53,47,1
General,61,24,35,1
ST,32,47,29,1
SC,4,43,41,1
EWS,19,33,24,0
EWS,55,67,25,1
OBC,0,-2,40,0
OBC,11,18,18,0
General,45,56,36,1
General,29,51,32,1
OBC,47,5,35,0
OBC,27,48,-7,0
General,45,24,8,0
SC,5,68,5,1
EWS,25,55,27,1
OBC,25,58,39,1
General,70,58,25,1
General,33,8,35,0
ST,60,36,18,1
SC,18,52,38,1
ST,24,14,25,1
OBC,27,66,34,1
EWS,18,49,31,1
EWS,11,36,18,0
General,48,72,40,1
General,4,44,29,0
SC,49,8,1,0
ST,47,15,34,1
General,32,41,43,1
SC,19,25,42,1
General,18,21,30,0
General,62,12,24,0
OBC,26,55,7,0
SC,55,43,16,1
General,42,16,22,0
ST,70,30,38,1
SC,60,78,28,1
OBC,28,30,19,0
SC,38,43,29,1
OBC,53,35,68,1
OBC,53,36,19,1
OBC,47,54,5,1
EWS,41,32,9,0
General,36,56,29,1
SC,-9,45,48,1
ST,33,-1,48,1
General,34,52,16,0
OBC,78,69,51,1
OBC,47,51,54,1
General,-9,68,5,0
OBC,43,57,21,1
General,31,79,21,1
OBC,3,57,30,1
OBC,25,11,76,1
OBC,33,10,25,0
General,-10,36,30,0
OBC,50,40,37,1
General,53,69,37,1
ST,68,15,10,1
EWS,35,45,24,1
General,4,35,40,0
OBC,12,8,59,0
EWS,14,16,38,0
OBC,42,49,49,1
SC,24,13,21,0
General,-10,52,28,0
OBC,-9,32,14,0
OBC,-5,50,-2,0
EWS,15,24,44,0
General,33,34,18,0
ST,67,42,26,1
General,52,79,48,1
OBC,43,55,48,1
OBC,26,35,25,0
General,-10,39,3,0
SC,36,58,22,1
General,37,52,49,1
General,75,49,49,1
OBC,50,94,46,1
EWS,45,20,77,1
OBC,56,49,46,1
OBC,16,-4,35,0
OBC,44,36,12,1
General,20,44,21,0
EWS,48,43,6,1
General,25,11,15,0
General,63,69,25,1
SC,17,49,31,1
OBC,34,54,5,1
General,27,39,14,0
SC,20,15,6,0
General,44,33,10,0
EWS,37,51,5,1
General,40,63,28,1
General,27,56,26,1
OBC,10,38,42,1
OBC,44,56,67,1
General,32,38,46,1
OBC,50,33,37,1
OBC,32,58,48,1
SC,36,59,48,1
EWS,6,45,42,1
General,73,83,29,1
OBC,21,20,35,0
EWS,40,21,16,0
General,46,24,7,0
OBC,34,46,55,1
OBC,16,84,28,1
OBC,33,29,11,0
OBC,55,70,17,1
General,25,35,14,0
OBC,40,20,29,0
EWS,-3,57,33,0
General,17,28,50,0
OBC,56,37,52,1
OBC,25,50,35,1
General,47,42,28,1
General,-10,46,52,0
EWS,54,71,32,1
SC,2,25,9,0
General,2,45,28,0
OBC,38,12,41,1
General,47,38,37,1
General,19,33,59,1
General,2,46,19,0
SC,32,31,37,1
ST,28,40,58,1
OBC,40,7,28,0
General,41,58,48,1
General,42,43,33,1
ST,47,76,41,1
General,60,56,21,1
General,25,37,29,0
OBC,57,38,48,1
EWS,79,29,42,1
OBC,44,45,36,1
ST,23,32,22,1
General,65,46,34,1
OBC,34,50,54,1
ST,33,42,5,1
OBC,20,33,21,0
OBC,30,16,66,1
OBC,30,72,43,1
SC,31,55,28,1
General,9,35,57,0
General,34,19,30,0
EWS,56,27,55,1
OBC,34,21,22,0
EWS,17,58,8,0
General,31,14,28,0
ST,59,34,41,1
OBC,40,15,-4,0
General,50,-4,39,0
SC,54,-8,22,1
OBC,46,96,9,1
OBC,8,3,47,0
General,33,31,25,0
OBC,73,61,52,1
SC,26,48,26,1
OBC,48,46,33,1
OBC,25,88,19,1
OBC,27,66,32,1
OBC,28,7,8,0
General,73,32,17,1
OBC,45,28,13,0
EWS,17,25,28,0
OBC,5,53,13,0
General,55,30,35,1
OBC,66,51,0,1
ST,83,35,28,1
OBC,22,99,38,1
OBC,70,34,41,1
General,69,46,51,1
General,13,39,14,0
General,21,76,49,1
SC,17,39,34,1
SC,51,54,-3,1
SC,48,15,30,1
EWS,73,10,34,1
General,44,17,17,0
OBC,62,66,36,1
General,0,23,19,0
OBC,70,44,11,1
SC,18,69,18,1
ST,27,48,22,1
General,50,-10,4,0
OBC,25,55,39,1
OBC,34,15,40,0
General,69,43,34,1
OBC,60,15,29,1
OBC,43,50,34,1
SC,12,20,36,1
OBC,26,53,24,1
SC,38,73,45,1
ST,50,50,30,1
General,29,36,24,0
General,44,32,4,0
ST,25,34,-2,1
EWS,-9,41,40,0
General,40,5,12,0
OBC,74,30,46,1
OBC,16,-10,22,0
SC,60,53,57,1
General,78,34,34,1
OBC,55,13,21,0
General,37,-10,43,0
General,28,43,31,0
EWS,67,32,8,1
OBC,38,4,41,0
General,19,-5,45,0
OBC,54,36,10,1
ST,40,46,52,1
SC,34,30,29,1
SC,0,10,14,0
General,52,69,39,1
General,42,34,45,1
General,15,18,17,0
OBC,27,29,50,1
OBC,45,73,-2,1
OBC,58,22,45,1
General,23,27,44,0
OBC,22,22,5,0
General,62,56,0,1
OBC,8,34,11,0
SC,34,9,14,0
SC,49,38,20,1
OBC,56,58,30,1
General,-10,25,-10,0
OBC,32,-1,16,0
OBC,51,14,7,0
General,34,11,15,0
OBC,31,72,53,1
General,45,15,29,0
General,0,31,48,0
EWS,39,25,42,1
OBC,54,63,29,1
ST,54,61,58,1
OBC,50,29,23,1
OBC,47,59,19,1
ST,63,26,19,1
OBC,52,60,26,1
OBC,30,24,50,1
General,49,31,27,1
OBC,70,23,34,1
SC,1,44,68,1
General,24,100,33,1
OBC,32,30,-2,0
General,55,68,15,1
General,31,81,30,1
General,48,63,30,1
SC,14,50,43,1
EWS,42,36,42,1
OBC,15,60,40,1
General,54,23,18,0
OBC,32,67,11,1
General,43,58,21,1
ST,24,24,60,1
General,50,50,3,0
OBC,43,28,35,1
General,24,0,48,0
EWS,6,43,20,0
EWS,35,26,31,1
General,37,39,21,0
OBC,25,22,13,0
SC,23,34,7,1
General,62,-1,41,0
OBC,64,12,55,1
EWS,34,62,35,1
EWS,29,52,50,1
ST,40,39,66,1
ST,14,30,37,1
SC,56,37,35,1
General,20,19,86,1
EWS,51,43,63,1
OBC,35,49,45,1
OBC,23,88,27,1
OBC,17,27,48,1
OBC,16,25,33,0
General,38,24,28,0
EWS,60,41,-10,1
General,-3,58,60,1
OBC,3,85,21,1
OBC,35,62,24,1
EWS,31,24,24,0
SC,35,44,33,1
OBC,56,55,41,1
General,53,18,69,1
EWS,32,75,46,1
General,3,9,43,0
General,24,49,0,0
EWS,43,66,10,1
SC,37,57,38,1
General,64,54,36,1
SC,39,8,6,0
OBC,-6,38,36,0
OBC,23,37,4,0
OBC,49,38,29,1
SC,25,29,35,1
OBC,8,34,25,0
EWS,33,46,19,1
OBC,23,51,40,1
OBC,30,79,46,1
OBC,56,18,40,1
General,-7,22,39,0
OBC,37,37,36,1
General,-10,27,25,0
EWS,48,53,43,1
OBC,55,35,46,1
General,17,2,32,0
General,26,63,22,1
SC,22,57,19,1
General,43,31,58,1
OBC,7,67,40,1
OBC,43,45,55,1
SC,24,45,31,1
General,33,46,47,1
OBC,29,21,41,1
General,-4,40,55,0
General,-9,24,37,0
OBC,43,63,10,1
OBC,0,47,23,0
SC,8,33,22,1
General,64,44,40,1
OBC,30,4,27,0
OBC,43,47,33,1
General,40,8,16,0
EWS,0,24,53,0
General,43,39,24,1
General,26,48,16,0
SC,55,62,14,1
OBC,29,65,48,1
General,28,51,26,1
OBC,13,24,35,0
OBC,34,23,21,0
General,39,12,19,0
OBC,59,58,6,1
OBC,25,47,64,1
SC,32,90,27,1
General,65,18,66,1
General,36,42,15,0
General,42,39,12,0
General,63,9,33,1
EWS,41,3,37,0
SC,49,26,25,1
General,3,52,42,0
OBC,43,64,42,1
SC,68,2,28,1
OBC,17,20,43,0
SC,16,34,26,1
General,9,29,25,0
OBC,41,23,32,1
EWS,52,42,24,1
OBC,39,93,48,1
OBC,75,61,0,1
General,43,27,31,0
General,71,77,5,1
ST,0,41,52,1
General,9,11,35,0
ST,54,42,9,1
EWS,21,-4,21,0
OBC,26,34,25,0
General,57,51,2,1
OBC,70,48,21,1
General,46,51,14,1
General,20,34,20,0
General,12,0,25,0
ST,46,54,48,1
OBC,21,7,21,0
General,13,19,20,0
SC,29,46,38,1
SC,-7,55,38,1
General,79,47,21,1
General,25,52,75,1
General,32,39,35,1
General,36,48,0,0
SC,-8,42,18,0
General,26,56,45,1
EWS,31,64,29,1
General,39,33,3,0
OBC,63,21,33,1
EWS,27,-3,28,0
OBC,54,47,56,1
General,18,39,41,0
OBC,56,64,22,1
General,58,44,49,1
OBC,32,20,18,0
OBC,-9,48,40,0
SC,-7,44,34,1
OBC,25,65,34,1
ST,39,47,26,1
ST,48,57,42,1
EWS,46,38,26,1
General,56,54,30,1
EWS,76,19,49,1
General,45,60,-4,0
OBC,38,39,33,1
OBC,53,21,7,0
General,25,52,4,0
OBC,36,15,28,0
General,38,13,24,0
ST,-10,42,1,0
ST,12,31,15,1
General,16,26,52,0
General,23,12,5,0
ST,60,10,62,1
EWS,40,87,60,1
OBC,55,71,24,1
SC,16,17,42,1
ST,36,48,25,1
General,18,26,5,0
OBC,38,43,49,1
General,0,55,44,0
OBC,41,76,23,1
SC,41,67,52,1
ST,14,29,-1,0
ST,19,38,31,1
General,49,82,13,1
OBC,25,58,23,1
OBC,22,42,38,1
OBC,56,43,-1,1
General,42,10,47,0
General,50,72,35,1
General,-3,19,47,0
OBC,-6,29,27,0
SC,35,9,33,1
OBC,40,34,16,1
OBC,37,36,27,1
General,38,36,5,0
General,61,50,36,1
SC,17,-4,20,0
General,24,36,26,0
OBC,40,47,33,1
General,21,64,10,0
General,22,57,28,1
OBC,38,1,27,0
OBC,67,34,26,1
OBC,31,29,19,0
OBC,55,54,41,1
OBC,39,53,41,1
EWS,10,61,35,1
OBC,43,44,35,1
General,39,4,45,0
OBC,48,39,-10,0
SC,47,80,11,1
OBC,62,23,-3,0
General,16,23,15,0
OBC,15,33,42,1
General,25,53,25,0
General,37,62,16,1
General,48,54,13,1
EWS,30,46,39,1
OBC,47,23,15,0
General,54,54,45,1
General,26,60,14,0
ST,39,28,39,1
SC,31,94,41,1
SC,8,27,13,0
SC,15,23,39,1
EWS,-1,44,55,1
OBC,66,67,0,1
OBC,64,20,-3,0
OBC,22,35,22,0
General,23,15,-2,0
General,75,70,32,1
EWS,21,26,28,0
SC,33,15,26,1
OBC,30,60,30,1
SC,23,21,18,1
OBC,50,24,17,1
ST,53,30,54,1
General,9,31,32,0
OBC,3,32,20,0
SC,75,68,31,1
General,23,1,8,0
EWS,33,20,16,0
EWS,11,43,23,0
General,25,23,20,0
OBC,40,58,18,1
OBC,33,25,11,0
SC,23,75,33,1
ST,60,6,30,1
General,34,3,44,0
EWS,24,71,1,1
General,83,33,32,1
OBC,57,14,18,0
SC,0,42,48,1
ST,-10,32,48,1
SC,32,42,29,1
EWS,47,20,26,1
General,62,21,10,0
General,15,61,8,0
OBC,6,44,58,1
General,49,44,33,1
OBC,16,46,74,1
OBC,4,13,24,0
General,32,48,40,1
OBC,74,42,13,1
ST,6,19,19,0
OBC,40,67,33,1
OBC,30,36,-6,0
OBC,54,31,40,1
General,18,25,30,0
OBC,21,36,56,1
OBC,1,54,57,1
General,7,61,2,0
OBC,82,2,17,1
OBC,29,26,47,1
OBC,42,62,33,1
General,71,42,17,1
OBC,45,36,10,1
EWS,49,45,15,1
ST,10,40,27,1
ST,37,41,41,1
SC,31,30,23,1
General,34,39,-3,0
OBC,22,37,31,1
EWS,61,35,7,1
EWS,49,52,40,1
OBC,45,61,41,1
SC,46,26,31,1
OBC,27,1,-4,0
ST,0,42,41,1
General,17,33,-1,0
OBC,11,13,48,0
OBC,16,34,28,0
OBC,66,65,37,1
OBC,51,66,29,1
OBC,33,22,32,0
OBC,-6,74,25,1
SC,40,37,60,1
General,27,59,16,0
SC,20,70,34,1
OBC,46,41,23,1
General,42,47,33,1
General,45,12,30,0
SC,73,28,42,1
SC,18,27,29,1
General,0,96,36,1
General,18,23,40,0
General,45,8,12,0
General,28,7,38,0
General,24,52,26,0
SC,18,59,28,1
OBC,68,16,38,1
SC,35,11,21,1
OBC,52,27,32,1
OBC,94,22,36,1
General,19,46,17,0
OBC,9,48,39,1
General,22,56,28,1
OBC,34,51,6,1
EWS,27,62,7,1
SC,7,80,41,1
SC,39,42,24,1
OBC,6,57,59,1
General,39,64,14,1
OBC,52,38,33,1
General,40,79,15,1
OBC,59,66,14,1
SC,34,27,10,1
General,30,71,42,1
General,6,39,4,0
OBC,61,38,14,1
General,30,77,61,1
EWS,-5,25,53,0
EWS,48,62,3,1
General,41,45,28,1
SC,56,-10,32,1
EWS,33,24,31,0
SC,27,70,62,1
OBC,9,75,64,1
General,30,52,62,1
OBC,16,55,25,1
OBC,55,42,32,1
General,14,73,42,1
EWS,34,72,0,1
General,-9,18,33,0
EWS,-4,40,34,0
OBC,30,27,72,1
ST,47,15,59,1
General,9,46,30,0
OBC,-10,59,28,0
OBC,36,35,17,0
ST,22,27,60,1
OBC,38,46,44,1
OBC,11,68,47,1
General,9,40,39,0
OBC,31,19,21,0
General,31,42,8,0
OBC,14,34,4,0
OBC,-6,60,22,0
OBC,34,78,44,1
EWS,30,2,10,0
General,63,36,32,1
SC,39,22,35,1
OBC,21,67,51,1
OBC,23,25,17,0
OBC,34,68,0,1
OBC,63,32,30,1
SC,44,31,17,1
ST,48,34,23,1
General,40,64,37,1
SC,31,19,50,1
OBC,42,39,46,1
General,10,55,56,1
General,3,1,6,0
SC,-10,61,28,1
General,51,24,-4,0
ST,47,51,31,1
OBC,34,14,12,0
General,14,18,18,0
General,36,26,-10,0
EWS,15,32,16,0
OBC,24,44,27,1
General,17,24,5,0
ST,33,49,43,1
General,44,-8,41,0
General,18,70,27,1
OBC,37,53,21,1
OBC,13,43,20,0
ST,39,82,32,1
EWS,50,41,17,1
General,39,29,40,1
SC,18,22,47,1
General,65,-4,18,0
OBC,29,26,46,1
General,35,7,4,0
OBC,55,33,30,1
OBC,48,40,48,1
OBC,49,41,32,1
ST,48,44,17,1
OBC,20,25,17,0
OBC,-6,60,23,0
General,63,55,53,1
General,46,21,52,1
General,12,52,20,0
General,38,53,18,1
General,31,45,22,0
General,40,63,47,1
SC,32,8,42,1
OBC,34,59,33,1
General,44,92,19,1
OBC,34,39,54,1
SC,11,49,24,1
EWS,29,22,65,1
General,26,54,39,1
OBC,15,78,42,1
General,53,71,40,1
OBC,11,69,33,1
OBC,29,41,14,0
OBC,41,68,19,1
General,85,40,20,1
General,47,18,60,1
OBC,18,71,27,1
General,56,8,18,0
OBC,-8,44,26,0
OBC,1,25,9,0
General,48,60,15,1
EWS,25,30,44,1
General,11,31,50,0
OBC,-2,29,24,0
General,73,12,27,1
OBC,47,55,35,1
General,33,89,36,1
SC,33,42,40,1
SC,19,16,64,1
General,41,41,20,0
OBC,10,66,38,1
General,50,34,33,1
General,90,50,9,1
OBC,25,21,54,1
OBC,42,39,25,1
EWS,42,54,38,1
SC,8,46,15,1
General,42,44,47,1
OBC,47,49,34,1
General,4,3,26,0
General,20,53,55,1
EWS,10,21,3,0
OBC,36,58,28,1
ST,65,35,10,1
EWS,17,46,30,1
EWS,-10,13,25,0
General,69,59,29,1
General,62,38,36,1
General,44,4,23,0
General,44,49,17,1
OBC,15,68,29,1
OBC,57,43,22,1
EWS,42,27,15,0
EWS,42,24,30,1
OBC,3,38,4,0
General,79,53,-10,1
General,27,62,30,1
OBC,52,68,9,1
EWS,53,21,17,1
General,75,-1,54,1
General,40,39,26,1
OBC,3,28,29,0
OBC,37,62,36,1
EWS,-1,42,11,0
SC,39,36,10,1
General,37,22,44,0
General,74,26,40,1
General,43,32,56,1
OBC,33,54,25,1
General,14,32,25,0
OBC,48,66,23,1
OBC,48,-10,41,0
EWS,30,50,29,1
OBC,35,37,39,1
EWS,46,73,42,1
OBC,40,63,55,1
ST,27,54,22,1
ST,40,15,30,1
OBC,45,77,38,1
EWS,18,22,18,0
ST,17,15,49,1
General,19,74,17,1
EWS,54,43,45,1
OBC,35,39,14,0
OBC,-3,9,38,0
SC,17,34,21,1
General,10,58,13,0
General,55,70,6,1
General,35,21,54,1
EWS,14,11,31,0
General,24,21,16,0
General,32,42,40,1
SC,71,38,41,1
OBC,30,44,33,1
OBC,34,42,34,1
ST,72,43,48,1
General,6,51,18,0
General,41,57,16,1
General,19,37,32,0
General,50,19,18,0
General,56,30,11,0
SC,58,38,39,1
OBC,40,69,27,1
SC,74,47,25,1
SC,27,12,53,1
OBC,55,24,20,1
ST,32,25,62,1
General,35,25,65,1
General,23,27,57,1
OBC,21,39,15,0
OBC,8,42,14,0
EWS,10,49,-10,0
General,50,65,36,1
ST,35,49,16,1
OBC,65,38,15,1
General,43,41,24,1
OBC,73,35,49,1
OBC,64,67,82,1
General,33,44,50,1
General,72,95,50,1
OBC,24,6,21,0
EWS,52,59,38,1
SC,71,19,44,1
General,52,42,36,1
OBC,15,39,14,0
OBC,18,56,54,1
General,24,29,22,0
SC,30,77,45,1
SC,58,33,15,1
SC,36,67,45,1
OBC,14,-2,73,0
General,48,22,12,0
SC,18,39,24,1
General,24,-6,14,0
General,3,13,21,0
General,29,11,37,0
ST,8,79,20,1
OBC,1,37,28,0
General,50,46,24,1
OBC,42,16,42,1
SC,52,63,47,1
ST,32,42,35,1
General,27,23,44,0
EWS,31,45,46,1
General,10,50,23,0
SC,32,62,23,1
General,33,45,58,1
ST,43,59,-5,1
OBC,27,50,21,1
OBC,58,10,-10,0
OBC,11,38,56,1
OBC,23,77,38,1
General,39,25,-10,0
EWS,16,25,29,0
General,46,0,25,0
SC,34,66,2,1
OBC,1,74,40,1
OBC,30,8,21,0
SC,40,26,44,1
General,35,29,52,1
General,52,23,28,0
General,1,62,66,1
OBC,15,48,13,0
OBC,38,19,31,0
EWS,16,51,18,0
General,29,32,43,0
ST,28,7,23,1
OBC,-10,74,0,0
General,48,41,18,1
SC,35,73,9,1
OBC,37,45,32,1
OBC,61,12,35,1
OBC,48,56,44,1
OBC,25,42,32,1
ST,52,41,29,1
OBC,40,40,34,1
EWS,42,34,44,1
SC,43,43,15,1
SC,28,59,53,1
General,28,12,22,0
General,69,100,-2,1
General,80,-9,13,0
General,25,50,19,0
OBC,59,37,26,1
ST,46,26,35,1
